livro,dificuldade,nome,custo_pe,tipo_acao,efeito_resumo
Comuns,Adicional,(sem adicional próprio),—,—,Livro base combinável com qualquer outro
Comuns,Fácil,Anfíbio,—,—,Respira e enxerga dentro/fora d'água; sem penalidade em Combate Aquático
Comuns,Fácil,Armadura Natural,—,—,Reduz Dano Físico recebido em 2x Poder
Comuns,Fácil,Minúsculo,—,—,"+2m Movimentação, Aptidão em Furtividade, Corrida grátis após Defesa bem-sucedida, ignora ocupação de espaço; Inaptidão em Brutalidade. Exclui Corpo Descomunal/Colosso"
Comuns,Fácil,Proteção Arcana,—,—,Reduz Dano Mágico recebido em 2x Poder
Comuns,Fácil,Velocidade Aprimorada,—,—,Corrida grátis por turno + Prioridade em Agilidade
Comuns,Normal,Contra-Ataque,1 PE,Ação Rápida,"Após ser alvo de Ação Ativa/Simples, contra-ataca com Golpe Brutal/Evocação Mística grátis"
Comuns,Normal,Ignorar Defesas,—,—,Testes de Bloqueio contra a criatura têm Inaptidão; criatura tem Prioridade em Precisão/Canalização
Comuns,Normal,Resistência Incomum,—,—,Imune a Inaptidões/reduções de Parâmetro; reduz Dano Crítico recebido pela metade
Comuns,Normal,Sentidos Aprimorados,—,—,"Infravisão Mística, +2 Percepção Passiva, enxerga invisíveis/ilusões/formas verdadeiras"
Comuns,Normal,Voar,—,—,Pode voar durante a Movimentação
Comuns,Difícil,Ataque Duplo,—,Ação Ativa,Realiza 2 Golpes Brutais/Evocações Místicas no mesmo Alvo; a 2ª Evocação não custa PE
Comuns,Difícil,Bioadaptação,2 PE,Ação Rápida (Conjuração),Remove um Efeito Negativo/Condição e fica imune a ele até o fim do combate
Comuns,Difícil,Corpo Descomunal,—,—,"Requer Tamanho Enorme; +16 PV/Poder, imune a Lentidão/Imóvel, resiste a Agarrar, Aptidão Aprimorada em Brutalidade, Inaptidão Aprimorada em Furtividade. Exclui Minúsculo/Colosso"
Comuns,Difícil,Invisibilidade,2 PE,Ação Simples (Conjuração),Fica Invisível por 1 minuto
Comuns,Difícil,Véu Abundante,—,—,Regenera 1d4 PE temporários no início do turno
Comuns,Extrema,Ação Simples Adicional,—,—,Ganha uma Ação Simples extra por turno
Comuns,Extrema,Ação Rápida Adicional,—,—,Ganha uma Ação Rápida extra por rodada
Comuns,Extrema,Colosso,—,—,"Requer Tamanho Gigante; +32 PV/Poder, imune a Lentidão/Imóvel/Fratura/Caído, dano em área ao acertar, Furtividade sempre falha. Exclui Corpo Descomunal/Minúsculo"
