categoria,subcategoria,nome,preco_mp,unidade,dano_base_ou_bloqueio,parametro_ou_requisito,alcance,propriedade_ou_notas
Armadura,Armadura,Robes,5,5,— (0 Bloqueio),—,—,Vestes sem defesa
Armadura,Armadura,Armadura Leve,18,10,+1 Bloqueio,Vigor 1,—,Inaptidão em Canalização e Destreza
Armadura,Armadura,Armadura Média,36,15,+2 Bloqueio,Vigor 2,—,Inaptidão em Canalização e Destreza
Armadura,Armadura,Armadura Pesada,72,20,+3 Bloqueio,Vigor 4,—,Inaptidão em Canalização/Destreza/Agilidade/Furtividade
Armadura,Escudo,Escudo,12,15,+1 Bloqueio,Vigor 1,—,Inaptidão em Canalização e Destreza
Armamento,Leve,Adaga,6,8,2,Destreza,1m,"Ambidestria, Perfurar"
Armamento,Leve,Maça,10,13,2,Brutalidade,1m,Impacto
Armamento,Leve,Machado Leve,10,13,3,Brutalidade,1m,Afiado
Armamento,Leve,Espada Curta,12,15,3,Brutalidade ou Destreza,1m,Prioridade
Armamento,Pesado,Lança,18,20,3-4,Brutalidade ou Destreza,1m,"Extensão, Versatilidade"
Armamento,Pesado,Martelo de Guerra,20,18,4,Brutalidade,1m,Contundente
Armamento,Pesado,Machado Pesado,20,18,5,Brutalidade,1m,Traspassar
Armamento,Pesado,Espada Longa,24,20,5,Brutalidade ou Destreza,1m,Prioridade
Armamento,À Distância,Besta Pequena,12,10,2,Destreza,6m,"Ambidestria, Virotes"
Armamento,À Distância,Revólver,24,9,3,Destreza,8m,Tambor
Armamento,À Distância,Arco,20,17,4,Destreza,10m,"Perfurar, Flechas"
Armamento,À Distância,Besta Grande,24,19,5,Destreza,10m,"Traspassar, Virotes"
Armamento,À Distância,Mosquete,48,19,6,Destreza,12m,Tambor
Armamento,Mágico,Berloque de Energia,10,5,2,Arcanismo,1m,"Ambidestria, Rasga-Véu"
Armamento,Mágico,Catalisador Místico,20,16,4,Arcanismo,6m,Abalo Místico
