caminho,especializacao,nome,custo_pe,tipo_acao,conjuracao,efeito_resumo,aprimoramento_a,aprimoramento_b
Andarilho,(base),Companheiro Feral,—,—,Não,"Ganha uma Criatura Aliada; inclui técnicas Domar Criatura (Ação Simples) e Ataque Sincronizado",Sincronia Selvagem: ativa com Resultado Natural 8+ (Precisão/Canalização),Fortalecer Companheiro: +1 categoria de dado no Golpe Brutal/Evocação Mística da Criatura Aliada
Andarilho,(base),Descendente dos Filhos da Floresta,—,Ação Simples ou Iniciativa,Não,"Transformação: vira Animal Selvagem OU ganha 2 Características (Comuns/Ferais Fácil) até o fim do combate",Aprimorar Transformação: +1 Característica adicional,Maestria Primitiva: +1 Característica adicional
Andarilho,(base),Perturbação Lúgubre,2,Ação Ativa,Sim,"Condição Mágica 1 min: amplifica dano futuro no Alvo em 1d8 Imaterial e bloqueia regeneração de PV/PE",Forças Malditas: +2 na Dif. do teste de Espírito,Conectar o Fim: +1 Alvo (+1 a cada 3 pontos de Canalização)
Andarilho,(base),Forças do Ciclo,1,Ação Ativa,Sim,"Ataque Mágico a 6m (Natureza ou Profano) = PE máximo; aplica Tributo (drena PE do alvo para regenerar PE de aliado)",Dominação das Forças do Ciclo: +2 na Dif. do teste de Espírito,Sinergia Natural: -2 na Dif. do teste de Canalização
Andarilho,(base),Enfeitiçar,2,Ação Ativa,Sim,"Condição Mágica (Foco) 1 min: Alvo passa a agir como aliado, sem ações ofensivas contra você",Poder da Mente: +2 na Dif. do teste de Espírito,Mestre Enfeitiçador: remove status de Foco e reduz custo em 1 PE
Andarilho,(base),Grilhões Primais,1,Ação Rápida,Sim,"Vinhas prendem Alvo a 6m (Imóvel) se falhar em Vigor Dif.8; -1 em Defesa enquanto Imóvel",Grilhões Ancestrais: +2 na Dif. do teste de Vigor,Controle Primal: teste de Vigor do Alvo recebe Inaptidão
Andarilho,(base),Explorador de Auroria,—,—,Não,"Identifica stats de criaturas do Homuncularium a 8m; ganha Adaptação Selvagem (ignora 1 Característica 1x/combate) + 1 Técnica de Sobrevivência à escolha",Conhecimento Selvagem: Adaptação Selvagem reduz categoria de dado do alvo,Sobrevivencialista: +2 Técnicas de Sobrevivência
Andarilho,(base),Invólucro Cinzento,1,Ação Rápida,Sim,"Reflete Efeito Negativo/Condição Mágica recebida de volta ao Alvo (Espírito Dif.8)",Sussurros da Floresta: +2 na Dif. do teste de Espírito,Prática Maldita: pode usar 2x na mesma rodada
Andarilho,(base),Decreto Lunar,2,Ação Simples,Sim,"Condição Mágica/Efeito Positivo (Foco) 1 min a 6m: Lua Crescente (Aptidão 1x/rodada) ou Lua Minguante (Inaptidão 1x/rodada)",Presente das Três Guardiãs: você também recebe o Efeito Positivo aplicado,Augúrio Lunar: +2 na Dif. do teste de Espírito da Lua Minguante
Andarilho,(base),Técnica Musical,1,Ação Simples,Sim,"Melodia a 4m: Verso (+2m Movimentação) OU Refrão (+1 teste de Parâmetro/Bloqueio) OU Ponte (cura = metade do PE máximo)",Técnica Mística: Teste de Destino Dif.10 regenera 1 PE,Execução Rápida: Ação Simples vira Ação Acelerada
Combatente,(base),Adrenalina,1,Ação Simples,Não,"Até o fim do combate, +Brutalidade no 1º Dano Físico de cada turno (não acumula); Movimentação não pode ser reduzida enquanto ativo",Mestre da Guerra: +1 e Prioridade no próximo teste de Precisão ao ser ferido,Movimentação Frenética: +2m de Movimentação enquanto ativo
Combatente,(base),Discípulo do Corpo e da Mente,—,—,Não,"Ataques Desarmados passam a causar 1d4 + 1d4 por ponto de Brutalidade ou Destreza; ganha Sequência Marcial (1 PE: ataque desarmado extra)",Corpo Marcial: escolhe Propriedade (Impacto/Perfurar/Prioridade) para os Ataques Desarmados no combate,Despertar do Corpo e Mente: regenera 1 PE ao acertar com Resultado Natural 10+ (1x/rodada)
Combatente,(base),Encantamentos Rúnicos,2,Ação Simples,Não,"Foco 1 min: encanta Armadura/Escudo/Armamento com efeito à escolha (Proteção Rúnica, Baluarte Mágico, Encantamento Elemental ou Lâmina Arcana)",Praticidade Mística: Ação Simples vira Ação Acelerada,Duplicar Encantamento: aplica um 2º efeito (mesmo ou outro equipamento)
Combatente,(base),Ensinamentos do Templo Cinzento,—,—,Não,"Ganha Avanço Místico (1 PE: teleporte 3m + dano em área após acerto), Energizar (+2m alcance de Ataques Físicos) e Truque Arcano (1 Feitiço Arcano)",Reação Mística: Avanço Místico vira Ação Acelerada,Energia Cinzenta: dano do Avanço Místico atinge área (3m) em vez de 1 Alvo
Combatente,(base),Perito com Armamentos Corpo a Corpo,—,—,Não,"Ganha Manejo com Armamentos Leves/Pesados (troca de arma grátis / +1 Dano Base) e Ciclone de Aço (2 PE: dano em área, Defesa Dif.8)",Técnica Inescapável: +2 na Dif. de Defesa do Ciclone de Aço,Impacto de Aço: quem falhar no Ciclone de Aço fica Caído
Combatente,(base),Perseguidor do Véu,—,—,Não,"Aptidão em Ataque Físico contra quem conjurou recentemente a 6m; sente Conjurações num raio de 10m",Resguardo Escarlate: Aptidão no 1º teste de Espírito da rodada em combate,Oprimir Conjuradores: Inaptidão no 1º Ataque Mágico contra você na rodada
Combatente,(base),Punição Escarlate,1,Ação Rápida,Não,"Aplica Penitente (1 min) após acerto físico: conjuração do Alvo penitente causa dano nele mesmo (Espírito Dif.8 remove)",Penitência Maior: +2 na Dif. do teste de Espírito,O Propósito: Ação Rápida vira Ação Acelerada
Combatente,(base),Técnicas Marciais,1,Ação Rápida,Não,"Após acerto físico a 1m, realiza uma Manobra de Combate grátis (sem custo de Ação Ativa)",Fluidez de Combate: remove o custo de PE,Perito em Manobras: transforma a Aptidão em Aptidão Aprimorada
Combatente,(base),Calor da Batalha,—,Iniciativa,Não,"Ganha PV temporários = PE máximo (+2 por Vigor); ganha Recuperar o Fôlego (Ação Simples, 1x/combate: regen. 1d4+Vigor PV e 1 PE)",Resistência Lendária de Neros: Aptidão em testes de Vigor,Técnica de Regeneração: +1 categoria de dado na regeneração de PV do Recuperar o Fôlego
Combatente,(base),Perito com Equipamentos Defensivos,—,—,Não,"Remove Inaptidão de Armaduras; com Escudo ganha Postura Defensiva (Ação Simples: +1 Bloqueio) e Proteger (1 PE: vira alvo de um ataque em seu lugar)",Treinamento de Ferro: imune a Caído; +2 na Dif. de Crítico contra você com Escudo,Escudeiro: pode usar Proteger 2x na mesma rodada
Devoto,(base),Lampejo Celestial,—,—,Sim,"Acerto 10+ soma metade do PE máx. como Dano de Luz (1x/turno)",Favor de Ofir: ativa com Resultado Natural 8,Dádiva Celestial: regenera 2x Espírito em PV ao causar dano de Luz
Devoto,(base),Poder Abissal,2,Ação Ativa,Sim,"Foco 1 min: dano de Trevas = PE máx. a 6m, repetido a cada turno seu enquanto ativo",Peso Abissal: +2 Dif.,Influência Sombria: Inaptidão no teste de Espírito
Devoto,(base),Barreira Protetora,1,Ação Simples,Sim,"Concede 1d4 (+1d4/Espírito) PV Temporários a um Alvo a 6m; metade Maximizada se ele estiver com menos da metade do PV",Barreira Vinculada: recebe metade do PVT ao usar em outro Alvo,Proteção Célere: vira Ação Acelerada
Devoto,(base),Aspecto da Grandeza,—,Iniciativa,Sim,"Efeito Positivo: 1º dano/cura do Alvo na rodada += Espírito+1, até o fim do combate",Aperfeiçoar Aspecto: efeito não pode ser reduzido; usa mesmo com 2 Iniciativas gastas,Exalar Grandeza: +1 Alvo (a cada 3 Espírito)
Devoto,(base),Bênção Radiante,2,Ação Simples,Sim,"Foco 1 min: quem ferir o Alvo protegido recebe metade do PE máx. como Dano de Luz (1x/turno)",Ensinamentos Radiantes: vira Ação Acelerada,Fortalecer Bênção: Foco não removível + -1 PE
Devoto,(base),Centelha de Édona,2,Ação Ativa,Sim,"Efeito Positivo 1 min: escolhe Centelha da Balança/Ordem/Caos (bônus defensivo/ofensivo variado); pode trocar com 1 PE",Presente Divino: pode acumular mais de uma Centelha,Receptáculo de Édona: você também recebe o efeito ao aplicá-lo
Devoto,(base),Dádiva de Édona,—,—,Sim,"No Repouso Completo, escolhe efeito de Balança/Ordem/Caos até o próximo Repouso",Ampliar Dádiva: ocorre a cada Repouso comum,Abraçar o Panteão: ganha um efeito adicional
Devoto,(base),Elo Espiritual,2,Ação Ativa,Sim,"Efeito Positivo: aliado ganha 2 PE Temp.; pode usar Espírito do conjurador no lugar do dele 1x/teste (Ação Rápida)",Conexão Célere: vira Ação Acelerada,Lampejo Espiritual: usa a Ação Rápida 2x na rodada
Devoto,(base),Revitalizar,1,Ação Ativa,Sim,"Cura 1d6 (+1d6/Espírito) PV; pode gastar 2 PE extra em Consagrar (remove Sangramento/Envenenado)",Toque Vital: pode re-rolar dados de cura 1x/turno,Purificador: -1 PE em Consagrar
Devoto,(base),Presente do Abismo,2,Ação Rápida,Sim,"1x/rodada: Maximiza metade dos dados de um dano/cura de Alvo a 6m, ou soma metade do PE máx. se não houver dados",Escolhido das Trevas: usa 2x na rodada,Sinergia Abissal: efeito também aplica no seu próximo dano/cura
Feiticeiro,(base),Esfera Espiral Soberana,2,Ação Ativa,Sim,"Explosão em área 3m: 1d8 (+1d8/Arcanismo) Dano Mágico Neutro, metade se passar em Agilidade Dif.8",Destruição Arcana: +2 Dif.,Perfurar os Céus: +1 categoria de dado
Feiticeiro,(base),Explosão de Sangue,X PV,Ação Ativa,Sim,"Dano imaterial (1d8+1d8/Arcanismo) a 6m (Vigor Dif.8); Resultado Natural 6- aplica Sangramento; cura ao ferir sangrando",Manipular Força Vital: +2 Dif.,Pressão Sangrenta: Inaptidão no teste de Vigor
Feiticeiro,(base),Moldar Elemento,2,Ação Simples,Sim,"Efeito Positivo 1 min: escolhe elemento; converte dano Neutro nele e ganha efeito único por elemento 1x/rodada",Sagacidade Elemental: vira Ação Acelerada,Iniciado Elemental: troca o elemento no início do turno
Feiticeiro,(base),Campo Elemental,1,Ação Ativa,Sim,"Foco 1 min: zona elemental (1d6+1d6/Arcanismo por turno) num raio de 3m",Zona Caótica: vira Terreno Difícil (sem Corrida),Maestria Elemental: deixa de ser Foco (só 1 por vez) e +2m de área
Feiticeiro,(base),Perito com Armamentos Mágicos,—,—,Não,"Catalisador: Abalo Místico dá Aptidão no próximo ataque; Berloque: Rasga-Véu dá PE Temp. (máx. 2/rodada)",Sinergia Mística: reduz custo da próxima Conjuração ao acertar,Maestria com Armamentos Mágicos: ataques ignoram Aptidão/Prioridade na Defesa
Feiticeiro,(base),Rituais Sangrentos,—,—,Sim,"Ganha Poder Carmesim (X PV: +1 Parâmetro temporário) e Ligação de Sangue (X PV: usa PV de Alvo marcado nos seus custos)",Vislumbre Shatraq: +2 Dif. de Ligação de Sangue,Técnica Sangrenta: Ligação de Sangue vira Ação Acelerada
Feiticeiro,(base),Feitiçaria,—,—,Sim,"Ganha 5 Feitiços Arcanos + Rajada de Energia (1 PE, dano), Controlar o Véu (protege aliados de Conjuração), Armadura Arcana (2 PE, 2 Cargas de redução)",Revestimento Rápido: Armadura Arcana vira Ação Acelerada,Maestria Mística: remove custo de PE da Rajada de Energia
Feiticeiro,(base),Manipular a Fenda,2,Ação Rápida,Sim,Força um Alvo a 6m a refazer um teste de Parâmetro/Bloqueio (1x/turno/Alvo),Complexidade de Unala: usa 2x na rodada,Manipular o Destino: novo teste recebe +1 ou -1 à escolha
Feiticeiro,(base),Toque do Véu,—,—,Não,"Após Repouso, aprimora um equipamento tocado: armadura dá Prioridade em Bloqueio; arma aprimora uma Propriedade existente",Mestre Artesão: afeta mais equipamentos (a cada Canalização),Moldar Propriedades: também pode adicionar uma nova Propriedade (permanente)
Feiticeiro,(base),Velocidade Mística,—,Iniciativa,Sim,"Aliados a 6m: +1d4 na Iniciativa + Corrida grátis no 1º turno (opcional, 1x cada)",Aceleração Arcana: Corrida vira Movimentação,Triunfo Temporal: +1 categoria de dado
Ladino,(base),Armadilhas Místicas,2,Ação Ativa,Sim,"Cria armadilha invisível (Atordoante/Grudenta/Tóxica) que ativa ao ser pisada; pode ativar com Ação Rápida",Véu Criador: vira Ação Acelerada,Surpresa Mística: ativação vira Ação Acelerada
Ladino,(base),Disparo Debilitante,1,Ação Ativa,Não,"Ataque à distância aplica Caído (Parte Inferior) / Inaptidão (Parte Superior) / Sangramento (Parte Vital), à escolha",Pontos Expostos: +2 Dif. dos testes de Vigor,Disparo Preciso: +1 Precisão no próximo ataque contra o mesmo Alvo
Ladino,(base),Emboscar,—,Iniciativa,Não,"Corrida na Iniciativa + Aptidão em Precisão/Canalização/Defesa na 1ª rodada",Oportunista: Corrida vira Movimentação + ganha Prioridade também,Segunda Chance: pode refazer um teste da 1ª rodada
Ladino,(base),Estilo Único,—,—,Não,"Ganha Combate Híbrido (arma leve+à distância sem penalidade + recarrega Tambor grátis), Esgrimista (2 golpes com 1 arma leve) e Combo (+1 Precisão ao acertar)",Aprendizado Instantâneo: 2º golpe ganha Aptidão se o 1º falhar,Sequência: +1 no bônus de Combo
Ladino,(base),Revidar,2,Ação Rápida,Não,"Contra-ataca no fim do turno quem te atacou; sucesso em Agilidade dá +1 Precisão/Canalização",Movimentação Vingativa: pode se mover até o Alvo antes de atacar,Vingança Precisa: +1 adicional no bônus
Ladino,(base),Ladinagem,—,—,Não,"Ganha Maestria Assassina (+dano em ataque com Aptidão), Perito em Arremesso (dano total ao arremessar) e Sem Escapatória (ataque de oportunidade)",Corte Mortal de Lyferion: -1 permanente na Dif. de Crítico,Debilitar: Sem Escapatória aplica Inaptidão no Alvo
Ladino,(base),Manto das Sombras,2,Ação Ativa,Sim,"1 min: pode ficar Invisível; acerto 10+ permite ficar Invisível gastando 1 PE (1x/turno)",Caminhante das Sombras: ativa com Resultado Natural 8,Truques de Nistragard: Aptidão em Agilidade ao perder a Invisibilidade
Ladino,(base),Perito com Armamentos à Distância,—,—,Não,"Ganha Mirar (Ação Simples: +1 Precisão no turno), Arquearia (Prioridade em arcos/bestas), Manejo (sem penalidade de mão dupla) e recarga dupla grátis",Olhos de Águia: ignora Aptidão/Prioridade na Defesa,Técnica do Atirador: Revólver/Mosquete aplicam -1 Defesa futura
Ladino,(base),Reflexo Enganador,2,Ação Simples,Sim,"Foco 1 min: cria ilusão (1 Capacidade) que redireciona ataques de inimigos próximos (Espírito Dif.8)",Titereiro Místico: vira Ação Acelerada,Aprimorar Ilusão: +2 Dif.
Ladino,(base),Marca Sombria,2,Ação Simples,Sim,Condição Mágica 1 min: aplica Escuridão no Alvo,Símbolo Sombrio: +2 Dif.,Cicatriz Sombria: Inaptidão no teste de Espírito
Andarilho,Bardo,Melodista,—,—,Não,"Evolui Técnica Musical: dobra alcance e permite aplicar 2 efeitos ao mesmo tempo",O Grande Espetáculo: pode usar como Iniciativa mesmo já tendo usado 2 (grátis),Parte Favorita: dobra os valores de um efeito em um Alvo escolhido
