propriedade,efeito_resumo
Abalo Místico,"Resultado Natural 10+ no ataque: Alvo recebe Inaptidão no próximo teste de Parâmetro"
Afiado,"Resultado Natural 10+: aplica Sangramento por 1 hora"
Ambidestria,"Não gera Inaptidão em Precisão/Canalização por Empunhadura Dupla"
Contundente,"Resultado Natural 10+: aplica 1 ponto de Fratura"
Extensão,"+2 metros de alcance em Ataques Físicos e Arremessos"
Flechas,"Usa Flechas como munição; não precisa recarregar"
Impacto,"Resultado Natural 10+: aplica Lentidão"
Marcialidade,"Permite Ataque Desarmado com o item; não pode ser Desarmado nem arremessado com dano"
Perfurar,"Reduz em 1 a diferença necessária para Acerto Crítico"
Prioridade,"Ataques com esse armamento têm Prioridade em testes de Precisão"
Rasga-Véu,"Resultado Natural 10+: remove 1 Ponto de Energia do Alvo"
Tambor,"Comporta até 2 Munições; recarregar custa uma Ação Simples"
Traspassar,"Resultado Natural 10+: dano aumentado em um valor igual ao Dano Base"
Versatilidade,"Pode ser usado com 1 ou 2 mãos (Dano Base -1 com uma mão); continua sendo Pesado"
Virotes,"Usa Virotes como munição; mecanismo automatizado, sem recarga"
